市区町村名,地区名,最寄駅：名称,最寄駅：距離（分）,間取り,面積（㎡）,建築年,取引価格（総額）,西暦建築年,築年数,平米単価,面積カテゴリ,徒歩カテゴリ
大阪市旭区,新森,新森古市,0,２ＬＤＫ,70,2012年,3200,2012,13,45.714285714285715,70-100㎡,0-5分
大阪市旭区,新森,新森古市,0,３ＬＤＫ,65,2013年,3500,2013,12,53.84615384615385,50-70㎡,0-5分
大阪市旭区,新森,関目高殿,5,４ＬＤＫ,95,2002年,5000,2002,23,52.63157894736842,70-100㎡,0-5分
大阪市旭区,新森,関目高殿,5,３ＬＤＫ,65,2002年,3800,2002,23,58.46153846153846,50-70㎡,0-5分
大阪市旭区,新森,関目高殿,5,３ＬＤＫ,95,2002年,3600,2002,23,37.89473684210526,70-100㎡,0-5分
大阪市旭区,新森,関目高殿,6,３ＬＤＫ,65,1996年,3600,1996,29,55.38461538461539,50-70㎡,6-10分
大阪市旭区,新森,関目高殿,6,３ＬＤＫ,60,1996年,2600,1996,29,43.333333333333336,50-70㎡,6-10分
大阪市旭区,新森,関目高殿,6,２ＬＤＫ,65,1996年,2300,1996,29,35.38461538461539,50-70㎡,6-10分
大阪市旭区,新森,関目高殿,6,３ＬＤＫ,60,1996年,950,1996,29,15.833333333333334,50-70㎡,6-10分
大阪市旭区,新森,森小路,4,３ＬＤＫ,60,1999年,3400,1999,26,56.666666666666664,50-70㎡,0-5分
大阪市旭区,千林,千林大宮,4,４ＬＤＫ,70,2007年,4400,2007,18,62.857142857142854,70-100㎡,0-5分
大阪市旭区,千林,千林大宮,4,３ＬＤＫ,60,2007年,3400,2007,18,56.666666666666664,50-70㎡,0-5分
大阪市旭区,太子橋,太子橋今市,5,３ＬＤＫ,80,2008年,3700,2008,17,46.25,70-100㎡,0-5分
大阪市旭区,太子橋,太子橋今市,5,２ＬＤＫ,80,2008年,3800,2008,17,47.5,70-100㎡,0-5分
大阪市旭区,太子橋,太子橋今市,5,２ＬＤＫ,65,2008年,2700,2008,17,41.53846153846154,50-70㎡,0-5分
大阪市旭区,太子橋,太子橋今市,4,２ＬＤＫ,60,2019年,3500,2019,6,58.333333333333336,50-70㎡,0-5分
大阪市旭区,太子橋,太子橋今市,1,３ＬＤＫ,60,2005年,2600,2005,20,43.333333333333336,50-70㎡,0-5分
大阪市旭区,太子橋,太子橋今市,1,３ＬＤＫ,60,2005年,2700,2005,20,45.0,50-70㎡,0-5分
大阪市旭区,高殿,城北公園通,11,３ＬＤＫ,60,1996年,1900,1996,29,31.666666666666668,50-70㎡,11-12分
大阪市旭区,高殿,城北公園通,11,２ＬＤＫ,60,1996年,3300,1996,29,55.0,50-70㎡,11-12分
大阪市旭区,高殿,城北公園通,8,２ＬＤＫ,70,2018年,4400,2018,7,62.857142857142854,70-100㎡,6-10分
大阪市旭区,高殿,城北公園通,11,３ＬＤＫ,65,1996年,4000,1996,29,61.53846153846154,50-70㎡,11-12分
大阪市旭区,高殿,城北公園通,8,３ＬＤＫ,70,2018年,4100,2018,7,58.57142857142857,70-100㎡,6-10分
大阪市旭区,高殿,城北公園通,11,３ＬＤＫ,65,1996年,2700,1996,29,41.53846153846154,50-70㎡,11-12分
大阪市旭区,高殿,城北公園通,8,３ＬＤＫ,55,2018年,2900,2018,7,52.72727272727273,50-70㎡,6-10分
大阪市旭区,高殿,城北公園通,11,２ＬＤＫ,55,1996年,3000,1996,29,54.54545454545455,50-70㎡,11-12分
大阪市旭区,高殿,城北公園通,8,３ＬＤＫ,70,2018年,3500,2018,7,50.0,70-100㎡,6-10分
大阪市旭区,高殿,城北公園通,7,３ＬＤＫ,70,2018年,3200,2018,7,45.714285714285715,70-100㎡,6-10分
大阪市旭区,高殿,城北公園通,11,３ＬＤＫ,60,1996年,2500,1996,29,41.666666666666664,50-70㎡,11-12分
